universityId,name,category,facultyStrength,employmentOutlook,requiredSubjects,minScore,minRank
A002,理科试验班类(严济慈物理学拔尖人才班),,,,,666,1244
A002,理科试验班(化学与生命资源),,,,,665,1313
A003,临床医学类,,,,,688,109
A003,理科试验班(理科各专业),,,,,686,140
A004,理科试验班类(詹天佑试点班信息类),,,,,643,5128
A004,理科试验班类(詹天佑试点班智能类),,,,,643,5162
A004,自动化类(智能系统与智能制造),,,,,627,10327
A004,电子信息类,,,,,629,9447
A004,计算机类,,,,,637,6630
A004,理科试验班,,,,,625,11119
A004,经济管理试验班,,,,,608,20007
A004,文科试验班类(经济管理人才试点班),,,,,619,13583
A004,新闻传播学类(卓越人才拔尖班),,,,,611,17908
A004,法学,,,,,624,11263
A004,建筑类(卓越人才拔尖班),,,,,600,24830
A004,交通运输(中外合作办学),,,,,596,27614
A004,机械电子工程(中外合作办学),,,,,597,27017
A004,纳米材料与技术(中外合作办学),,,,,589,34014
A004,交通运输类,,,,,621,12914
A005,应用化学,,,,,602,23725
A005,能源动力类,,,,,615,15863
A005,机器人工程,,,,,617,14827
A005,微电子科学与工程(实验班),,,,,622,12371
A005,土木类,,,,,587,35917
A005,建筑学,,,,,584,38102
A005,经济统计学,,,,,605,21698
A005,工商管理,,,,,599,26071
A005,社会学类,,,,,601,24231
A005,金融学(中外合作办学),,,,,586,36132
A005,物联网工程(中外合作办学),,,,,596,27714
A005,软件工程(中外合作办学),,,,,600,25096
A005,电子信息工程(中外合作办学),,,,,600,25239
A005,建筑环境与能源应用工程(建环和信计双学士学位),,,,,592,30926
A005,机械类,,,,,615,15512
A006,计算机科学与技术(拔尖学生培养计划),,,,,675,539
A006,数学与应用数学(拔尖学生培养计划),,,,,674,597
A006,工程力学(拔尖学生培养计划),,,,,670,879
A006,物理学(拔尖学生培养计划),,,,,668,1017
A006,工科试验班类(未来空天领军计划),,,,,677,452
A006,网络空间安全(卓越人才培养试验班),,,,,672,739
A006,微电子科学与工程(卓越人才培养试验班),,,,,673,636
A006,人工智能(卓越人才培养试验班),,,,,674,571
A006,理科试验班类(中法工程师学院),,,,,665,1338
A006,工科试验班类(医工交叉试验班),,,,,665,1354
A006,工科试验班类(计算与智能科学类),,,,,667,1128
A006,工科试验班类(信息科学与技术类),,,,,666,1208
A006,社会科学试验班,,,,,645,4657
A006,社会科学试验班(外语交叉学科人才培养试验班),,,,,646,4432
A006,工科试验班类(未来工程师项目制育人试验班),,,,,673,673
A006,工科试验班类(中外合作办学，中法航空试验班),,,,,645,4602
A006,工科试验班类(中外合作办学，中法未来科技试验班),,,,,650,3673
A006,工科试验班类(量子科技先锋计划),,,,,673,691
A006,工科试验班类(航空航天类),,,,,664,1512
A007,工科试验班(卓越班),,,,,672,723
A007,工科试验班(未来精工技术),,,,,670,874
A007,工科试验班(徐特立英才班),,,,,667,1123
A007,工科试验班(信息科学技术),,,,,663,1554
A007,工科试验班(电子信息实验班),,,,,662,1777
A007,会计学(中外合作办学),,,,,628,9718
A007,航空航天工程(中外合作办学),,,,,639,6119
A007,能源与动力工程(中外合作办学),,,,,628,9817
A007,车辆工程(中外合作办学),,,,,630,9188
A007,工科试验班(宇航与机电类),,,,,661,1818
A007,理科试验班(理学与材料菁英班),,,,,661,1825
A008,材料科学与工程(高精尖班),,,,,634,7561
A008,理科试验班(纳米科学与工程试验班),,,,,637,6794
A008,工科试验班类(卓越工程人才),,,,,625,10953
A008,理科试验班(拔尖人才计划),,,,,635,7408
A008,安全工程,,,,,608,19808
A008,储能科学与工程,,,,,615,15650
A008,材料科学与工程,,,,,615,15834
A008,材料智能技术,,,,,622,12119
A008,纳米材料与技术(前沿材料与未来技术),,,,,626,10672
A008,机械类,,,,,617,14783
A008,能源动力类(能源、环境专业),,,,,615,15793
A008,自动化类,,,,,624,11469
A008,人工智能,,,,,626,10821
A008,计算机类,,,,,630,9132
A008,通信工程,,,,,624,11625
A008,数学类,,,,,620,13226
A008,应用物理学,,,,,621,12930
A008,大数据管理与应用(大数据与金融试验班),,,,,612,17477
A008,工商管理类(数智管理试验班),,,,,612,17095
A008,社会科学试验班,,,,,611,17736
A008,外国语言文学类,,,,,609,19015
A008,冶金工程(低碳智慧冶金和战略金属提取),,,,,612,17441
A008,应用化学,,,,,614,16403
A008,生物技术,,,,,613,16562
A009,经济与金融,,,,,585,37441
A009,法学,,,,,603,22874
A009,法学(菁英班),,,,,605,21478
A009,知识产权,,,,,603,22956
A009,英语(涉外法治),,,,,582,40368
A009,数学与应用数学(菁英班),,,,,587,35965
A009,统计学,,,,,588,34552
A009,机械设计制造及其自动化(机器人),,,,,593,30618
A009,机械设计制造及其自动化(创新实验班),,,,,594,29177
A009,材料成型及控制工程(精密制造),,,,,579,43629
A009,机械电子工程(无人机),,,,,592,30878
A009,工业设计,,,,,578,44433
A009,材料科学与工程(新材料),,,,,583,39606
A009,储能科学与工程,,,,,583,39684
A009,储能科学与工程(菁英班),,,,,592,31038
A009,电气工程及其自动化(菁英班),,,,,598,26150
A009,电气工程及其自动化(智能电网),,,,,595,28467
A009,电子信息工程,,,,,596,27786
A009,电子信息工程(创新实验班),,,,,599,25526
A009,通信工程,,,,,593,30445
A009,通信工程(无人机),,,,,595,28431
A009,微电子科学与工程(菁英班),,,,,599,26121
A009,人工智能(菁英班),,,,,594,29502
A009,自动化(无人机),,,,,595,28758
A009,自动化(创新实验班),,,,,597,26948
A009,计算机科学与技术,,,,,601,24669
A009,计算机科学与技术(创新实验班),,,,,604,22008
A009,信息安全,,,,,592,31310
A009,数字媒体技术,,,,,596,28248
A009,智能建造,,,,,564,61149
A009,智慧交通,,,,,576,47336
A009,建筑学,,,,,575,47992
A009,建筑学(海外交换),,,,,560,67710
A009,工程管理,,,,,562,65003
A009,工商管理,,,,,573,50497
A009,数据科学与大数据技术(中外合作办学),,,,,563,62493
A009,土木工程(中外合作办学),,,,,505,175742
A010,工科试验班(卓越工程师学院),,,,,607,20050
A010,工科试验班(宏德书院),,,,,615,15838
A010,工科试验班(生物制造高精尖班),,,,,605,21860
A010,化学(基础拔尖),,,,,607,20551
A010,化学工程与工艺(化工、法语联合学士学位),,,,,606,21090
A010,化学工程与工艺(化工、大数据双学士学位),,,,,610,18736
A010,环境工程(环工、大数据双学士学位),,,,,600,25072
A010,材料科学与工程(材料、大数据双学士学位),,,,,610,18312
A010,化学(化学、生工双学士学位),,,,,609,19241
A010,生物工程(生工、大数据双学士学位),,,,,609,19292
A010,计算机类,,,,,614,16256
A010,理科试验班(数学、物理电子与管理),,,,,606,21273
A010,法学(卓越实验班),,,,,618,14007
A010,化工与制药类(中外合作办学)(中法精英工程教育试验班),,,,,585,37639
A010,生物工程(中外合作办学)(中美双学位、生物过程工程),,,,,576,47309
A010,机械设计制造及其自动化(中外合作办学)(中美双学位、机器人方向),,,,,584,38391
A010,工业设计(中外合作办学)(中意设计双学位),,,,,578,45221
A010,工科试验班(化工能源与生物医药),,,,,600,24851
A010,工科试验班(先进材料),,,,,601,24415
A010,理科试验班(绿色化学),,,,,602,23478
A010,工科试验班(高端装备与智能制造),,,,,608,19547
A010,自动化类,,,,,611,17949
A010,工商管理类(新文科经管法),,,,,604,22143
A011,会计学(数智会计精英班),,,,,601,24362
A011,物流管理与工程类,,,,,576,46930
A011,法学,,,,,601,24325
A011,香料香精技术与工程,,,,,559,69045
A011,应用化学(日化方向),,,,,559,68176
A011,化妆品技术与工程,,,,,566,58764
A011,酿酒工程,,,,,553,78618
A011,生物工程(生物智造方向),,,,,562,64662
A011,食品科学与工程(中外合作办学),,,,,522,135917
A011,数字经济,,,,,571,53164
A011,经济学(实验班),,,,,592,31393
A011,人工智能(创新书院实验班),,,,,580,42130
A011,食品科学与工程类,,,,,567,57893
A011,高分子材料与工程(环境友好高分子、新型智能高分子),,,,,567,58020
A012,高分子材料与工程,,,,,511,162184
A012,轻化工程,,,,,511,161563
A012,工业设计,,,,,537,106550
A012,智能工程与创意设计,,,,,529,122625
A012,服装设计与工程,,,,,520,141006
A012,传播学,,,,,557,71631
A012,工商管理类,,,,,540,100360
A013,计算机类(元班),,,,,658,2250
A013,电子信息类(元班),,,,,656,2525
A013,低空技术与工程,,,,,646,4548
A013,通信工程(大类招生),,,,,647,4109
A013,电子信息类,,,,,646,4343
A013,软件工程,,,,,646,4531
A013,网络空间安全(大类招生),,,,,645,4755
A013,人工智能(大类招生),,,,,644,4906
A013,公共事业管理(数智治理实验班),,,,,608,19620
A013,英语(语言智能实验班),,,,,610,18469
A013,法学(与中国政法大学联合学位),,,,,633,7863
A013,网络与新媒体,,,,,615,15696
A013,电信工程及管理(中外合作办学),,,,,612,17228
A013,物联网工程(中外合作办学),,,,,617,14532
A013,电子信息工程(中外合作办学),,,,,627,10005
A013,智能科学与技术(中外合作办学),,,,,623,11814
A013,信息与计算科学(中外合作办学),,,,,604,22417
A013,数字媒体技术(中外合作办学),,,,,604,22674
A013,智能医学工程(中外合作办学),,,,,602,23597
A013,计算机类,,,,,651,3501
A015,印刷工程,,,,,542,97349
A015,印刷工程(毕昇卓越班),,,,,555,75576
A015,包装工程(智能包装),,,,,536,108510
A015,机械工程(卓越工程师计划),,,,,540,99656
A015,自动化,,,,,544,93597
A015,计算机科学与技术,,,,,550,83277
A015,信息安全(数字版权保护),,,,,542,96652
A015,智能科学与技术,,,,,542,97650
A015,编辑出版学(韬奋班),,,,,574,49121
A015,数字出版(实验班),,,,,568,56841
A015,传播学(国际出版实验班),,,,,559,68800
A015,广告学,,,,,556,73310
A015,传播学,,,,,566,58780
A016,城乡规划,,,,,583,39461
A016,智能建造,,,,,560,67684
A016,土木工程(大师班),,,,,544,93290
A016,土木工程,,,,,543,95010
A016,交通工程(智能交通),,,,,578,45054
A016,建筑环境与能源应用工程(实验班),,,,,568,57185
A016,给排水科学与工程,,,,,561,66116
A016,环境工程(海绵城市建设),,,,,542,96301
A016,环境生态工程(城市生态环境修复),,,,,537,105316
A016,自动化,,,,,593,30159
A016,电气工程及其自动化(城市电网),,,,,599,25841
A016,计算机科学与技术,,,,,592,31493
A016,工程管理(实验班),,,,,569,54929
A016,工程管理,,,,,569,54938
A016,工程造价,,,,,534,112334
A016,测绘类(智慧城市类),,,,,572,52234
A016,机器人工程,,,,,585,37958
A017,旅游管理,,,,,531,117074
A017,会展,,,,,536,107453
A017,大数据管理与应用,,,,,547,88208
A017,机械工程,,,,,542,97531
A017,机器人工程,,,,,548,86452
A017,能源与动力工程,,,,,534,111949
A017,新能源科学与工程,,,,,549,83954
A017,智能制造工程,,,,,545,91667
A017,计算机科学与技术,,,,,567,57377
A017,数据科学与大数据技术,,,,,554,76830
A017,物联网工程,,,,,556,73870
A017,自动化,,,,,553,77950
A017,材料科学与工程,,,,,532,115926
A017,高分子材料与工程,,,,,533,113799
A017,化学工程与工艺,,,,,535,110508
A017,生物制药,,,,,528,123113
A017,药物分析,,,,,538,104743
A017,智能科学与技术,,,,,548,85903
A019,理科试验班类(生命科学),,,,,649,3731
A019,理科试验班(信息科学),,,,,645,4784
A019,理科试验班(智能装备),,,,,641,5542
A019,农学,,,,,632,8297
A019,园林,,,,,620,13052
A019,植物保护,,,,,631,8709
A019,生物科学类,,,,,643,5107
A019,动物科学,,,,,623,11901
A019,动物医学类,,,,,625,10930
A019,食品科学与工程类,,,,,623,11707
A019,农业工程类,,,,,624,11499
A019,机械类,,,,,627,10070
A019,电子信息类,,,,,637,6661
A019,计算机类,,,,,641,5760
A019,数学与应用数学,,,,,627,9983
A019,工程力学,,,,,623,11955
A019,经济学类,,,,,626,10442
A019,法学,,,,,632,8148
A019,社会学类,,,,,623,12053
A019,农村区域发展,,,,,626,10545
A019,国际经济与贸易(中外合作办学),,,,,600,25397
A019,传播学(中外合作办学),,,,,594,29456
A019,农林经济管理(中外合作办学),,,,,593,30317
A019,水产养殖学,,,,,578,45052
A019,设施农业科学与工程,,,,,587,36067
A019,市场营销,,,,,592,31683
A019,公共事业管理,,,,,599,26079
A019,电子商务,,,,,590,32944
A019,葡萄与葡萄酒工程,,,,,582,40412
A019,草坪科学与工程,,,,,578,44882
A019,工商管理类,,,,,628,9866
A019,资源环境科学(拔尖创新班),,,,,621,12864
A019,动物科学(未来领军创新班),,,,,628,9681
A019,水利类(卓越工程师班),,,,,624,11563
A019,生物质科学与工程,,,,,589,33553
A019,生物工程(营养与健康方向),,,,,592,31690
A019,城乡规划,,,,,581,41165
A019,酿酒工程,,,,,582,40912
A019,动物科学(伴侣动物方向),,,,,584,38211
A019,环境科学与工程类,,,,,619,13505
A019,水利类,,,,,621,12837
A019,化学类,,,,,622,12318
A019,地理科学类,,,,,620,13208
A020,生物工程,,,,,534,112405
A020,应用化学,,,,,525,130280
A020,农业资源与环境,,,,,521,139351
A020,园艺,,,,,540,101016
A020,国际经济与贸易,,,,,541,98596
A020,风景园林,,,,,536,107879
A020,林学(城市林业),,,,,509,165149
A020,食品科学与工程,,,,,530,120227
A020,食品质量与安全,,,,,530,120516
A020,酿酒工程,,,,,520,141266
A020,国际经济与贸易(中外合作办学),,,,,523,135255
A020,食品科学与工程(中外合作办学),,,,,488,217449
A020,农业资源与环境(中外合作办学),,,,,473,255242
A022,林学类(梁希实验班),,,,,594,29676
A022,地理信息科学,,,,,605,21508
A022,水土保持与荒漠化防治,,,,,589,34250
A022,水土保持与荒漠化防治(梁希实验班),,,,,589,34067
A022,生物技术(与水土保持专业双学士学位项目),,,,,605,21351
A022,自然地理与资源环境,,,,,604,22459
A022,生物科学类,,,,,600,24920
A022,生物科学(拔尖班),,,,,609,19047
A022,风景园林,,,,,598,26375
A022,风景园林(梁希实验班),,,,,611,17814
A022,城乡规划,,,,,596,27803
A022,园艺,,,,,581,41113
A022,生物技术(与园艺专业双学士学位项目),,,,,596,27957
A022,国际经济与贸易,,,,,605,21977
A022,金融学,,,,,605,21802
A022,统计学,,,,,600,25278
A022,数字经济,,,,,594,29755
A022,大数据管理与应用,,,,,600,25366
A022,机械设计制造及其自动化,,,,,606,21072
A022,车辆工程,,,,,600,24933
A022,自动化,,,,,610,18335
A022,电气工程及其自动化,,,,,612,17415
A022,林业工程类(梁希实验班),,,,,591,32296
A022,木材科学与工程(德语复合人才实验班),,,,,576,47286
A022,家具设计与工程(卓越人才实验班),,,,,577,45981
A022,功能材料,,,,,600,24842
A022,法学,,,,,616,15181
A022,法学(卓越法治人才实验班),,,,,618,14155
A022,应用心理学,,,,,606,20821
A022,英语,,,,,603,22942
A022,商务英语,,,,,603,22751
A022,日语(日英复语),,,,,597,27382
A022,信息管理与信息系统,,,,,598,26324
A022,计算机类,,,,,612,17504
A022,网络工程,,,,,611,17835
A022,人工智能,,,,,613,16682
A022,数学与应用数学,,,,,602,23814
A022,电子信息科学与技术,,,,,611,17686
A022,环境工程,,,,,586,36511
A022,给排水科学与工程,,,,,584,38580
A022,草业科学(梁希实验班),,,,,582,40632
A022,草坪科学与工程,,,,,581,41175
A022,环境科学,,,,,588,34737
A022,生物技术(中外合作办学),,,,,574,49751
A022,木材科学与工程(中外合作办学),,,,,555,74331
A022,林学类,,,,,587,35309
A022,食品科学与工程,,,,,592,31571
A022,园林,,,,,588,34886
A022,工商管理类,,,,,606,20835
A022,林业工程类,,,,,583,39084
A023,药学,,,,,648,3962
A023,护理学,,,,,590,33242
A025,临床医学(阶平班),,,,,665,1400
A025,口腔医学(阶平班),,,,,661,1810
A025,临床医学(5+3一体化),,,,,655,2647
A025,儿科学(5+3一体化),,,,,639,6068
A025,口腔医学(5+3一体化),,,,,661,1891
A025,临床医学,,,,,641,5723
A025,精神医学,,,,,630,8941
A025,基础医学,,,,,599,26097
A025,预防医学,,,,,589,33623
A025,临床药学,,,,,612,17154
A025,生物医学工程,,,,,622,12465
A025,听力与言语康复学,,,,,586,36695
A025,智能医学工程,,,,,610,18448
A025,康复物理治疗,,,,,594,29943
A025,康复作业治疗,,,,,587,35863
A025,公共事业管理(卫生管理),,,,,597,27167
A025,护理学,,,,,590,33327
A025,助产学,,,,,576,47360
A026,中医学(领军人才培养计划),,,,,650,3596
A026,中西医临床医学(华佗班),,,,,645,4658
A026,中药学(时珍国药班),,,,,629,9558
A026,中医学(卓越5+3一体化),,,,,631,8431
A026,中医学(5+3一体化，卓越中医儿科班),,,,,629,9247
A026,中医学,,,,,617,14668
A026,中医学(实验班),,,,,623,11873
A026,中医骨伤科学,,,,,615,15567
A026,中药学,,,,,597,27004
A026,中药制药,,,,,596,28020
A026,药学,,,,,613,16813
A026,生物工程(交叉创新班),,,,,598,26619
A026,康复治疗学,,,,,591,32362
A026,药事管理,,,,,589,33446
A026,大数据管理与应用(成思危拔尖人才班),,,,,594,29831
A026,法学(医药卫生),,,,,614,16392
A026,英语(医学),,,,,601,24045
A026,英语(中医药国际传播),,,,,607,20250
A026,针灸推拿学,,,,,617,14528
A026,护理学,,,,,571,53448
A027,戏剧影视文学,,,,,623,11827
A027,人文科学试验班,,,,,646,4534
A027,历史学类,,,,,651,3432
A027,社会科学试验班,,,,,640,5835
A027,数学类,,,,,651,3463
A027,物理学类,,,,,644,4930
A027,理科试验班,,,,,635,7186
A027,教育学类,,,,,639,6170
A028,中国语言文学类,,,,,613,16755
A028,英语,,,,,605,21579
A028,俄语,,,,,590,32772
A028,德语,,,,,590,32951
A028,教育学,,,,,602,23451
A028,世界史(外语双学士学位项目),,,,,606,20731
A028,数学与应用数学(教育部拔尖计划实验班),,,,,613,16816
A028,数学类(数理实验班),,,,,609,19305
A028,光电信息科学与工程,,,,,597,26887
A028,电子信息工程,,,,,605,21680
A028,计算机科学与技术,,,,,609,19385
A028,软件工程,,,,,605,21837
A028,人工智能(拔尖创新班),,,,,598,26544
A028,人工智能,,,,,598,26661
A028,应用化学,,,,,586,36740
A028,生物科学类(实验班),,,,,592,31521
A028,生物科学类,,,,,591,31821
A028,地理信息科学(考古学双学士学位项目),,,,,587,35408
A030,金融学(数字金融),,,,,624,11429
A030,外交学,,,,,630,8938
A030,汉语言文学,,,,,626,10414
A030,英语,,,,,631,8436
A030,英语(中国政法大学联合培养涉外法治人才),,,,,639,6114
A030,英语(中央财经大学金融学专业联合培养),,,,,631,8530
A030,翻译(外交外事高级翻译),,,,,640,5885
A030,大数据管理与应用,,,,,605,21713
A030,外交学(中外合作办学),,,,,596,27811
A030,德语(双学位),,,,,628,9608
A030,俄语(双学位),,,,,622,12207
A030,西班牙语(中国人民大学国际新闻传播专业联合培养),,,,,643,5149
A030,法学,,,,,633,7803
A030,法语,,,,,627,10009
A030,西班牙语,,,,,625,11057
A030,阿拉伯语,,,,,613,16751
A030,葡萄牙语(法学),,,,,619,13678
A031,英语,,,,,592,31256
A031,英语(人工智能与语言认知方向),,,,,600,24913
A031,日语(中日人文交流国际复合),,,,,588,34431
A031,俄语(人工智能与语言认知方向),,,,,585,37297
A031,德语(辅修数字贸易相关专业),,,,,586,36324
A031,塞尔维亚语,,,,,575,48032
A031,捷克语,,,,,575,48181
A031,阿拉伯语,,,,,579,43598
A031,土耳其语,,,,,581,41223
A031,翻译(中英法复语方向),,,,,591,31884
A031,旅游管理(旅游经济战略与管理方向),,,,,576,46746
A031,人文地理与城乡规划(文旅规划与智慧开发方向),,,,,579,43239
A031,会展经济与管理(国际会展活动策划与运营方向),,,,,579,43198
A031,酒店管理,,,,,572,52074
A031,市场营销(国际数字营销方向),,,,,580,42159
A031,金融学(数智金融方向),,,,,587,35721
A031,国际经济与贸易(国际服务贸易方向),,,,,593,30106
A031,贸易经济(国际文化贸易方向),,,,,588,34991
A031,外交学(政党外交方向),,,,,590,33340
A031,国际事务与国际关系(国际组织方向),,,,,582,40290
A031,汉语言文学(多语复合),,,,,598,26418
A031,新闻学(数智新闻与国际传播方向),,,,,588,34643
A032,经济学(数智分析),,,,,595,28820
A032,会计学(数智会计),,,,,603,22765
A032,金融学(数智金融),,,,,593,30284
A032,国际经济与贸易(数智商务),,,,,590,32789
A032,语言学,,,,,574,49541
A032,翻译(AI翻译实验班),,,,,594,29228
A032,国际政治,,,,,595,28685
A032,网络与新媒体(智能传播),,,,,596,27619
A032,数字经济,,,,,571,52347
A032,大数据管理与应用,,,,,573,50928
A032,心理学(脑科学与智能工程),,,,,578,44840
A032,国际事务与国际关系,,,,,590,32941
A032,国际组织与全球治理,,,,,590,33020
A032,传播学(梧桐计划人才实验班),,,,,593,30233
A032,新闻学(国际传播实验班),,,,,591,32077
A032,国际经济与贸易(中外合作办学)(国际语言产业管理),,,,,537,105816
A032,信息管理与信息系统(中外合作办学)(数字传播与语言服务),,,,,503,181051
A032,计算机类,,,,,585,37662
A032,外国语言文学类(英语和翻译),,,,,592,31056
A032,中国语言文学类,,,,,600,24954
A033,广播电视编导(视听编辑方向),,,,,610,18619
A033,广播电视编导(文艺编导方向),,,,,611,17787
A033,戏剧影视文学,,,,,613,16666
A033,广告学(品牌学方向),,,,,611,17887
A033,网络与新媒体(智能融媒体运营方向),,,,,623,11851
A033,国际新闻与传播(卓越人才实验班),,,,,629,9365
A033,新闻学(新闻舆论学方向),,,,,623,11779
A033,传播学,,,,,620,13185
A033,传播学(智能与计算传播方向),,,,,616,15150
A033,汉语言,,,,,616,15099
A033,汉语国际教育,,,,,608,19602
A033,文化产业管理,,,,,608,19459
A033,政治学与行政学(政治传播与政府治理方向),,,,,610,18472
A033,工商管理,,,,,609,19089
A033,大数据管理与应用,,,,,611,18156
A033,数字经济,,,,,593,30113
A033,智能工程与创意设计,,,,,599,25875
A033,数字媒体技术(游戏科学与技术方向),,,,,625,11195
A033,通信工程,,,,,616,15187
A033,智能视听工程,,,,,607,20471
A033,电子信息工程,,,,,617,14515
A033,智能装备与系统(演艺工程与智能技术方向),,,,,599,26075
A033,数字媒体技术,,,,,623,12003
A033,人工智能(智能视听卓越人才实验班),,,,,619,13818
A033,智能科学与技术,,,,,612,17311
A033,数据科学与大数据技术,,,,,614,16414
A033,计算机科学与技术,,,,,618,14043
A033,网络空间安全,,,,,614,16309
A033,数字媒体技术(中外合作办学),,,,,576,47290
A033,智能科学与技术(中外合作办学),,,,,576,46987
A033,广告学(中外合作办学),,,,,592,30915
A033,传播学(中外合作办学),,,,,595,28547
A034,财政学类,,,,,635,7257
A034,税收学(北理工智能、税收联培项目),,,,,644,4988
A034,金融学(含金融学、金融学北外英语专业联培2个专业),,,,,648,3957
A034,金融学类,,,,,637,6623
A034,金融科技(北航计算机联培项目),,,,,648,3991
A034,工商管理类(会计学院),,,,,641,5545
A034,保险学(北理工智能、保险联培项目),,,,,625,11217
A034,精算学,,,,,627,10363
A034,数学类,,,,,626,10519
A034,国际经济与贸易(中外合作办学)(国际贸易、金融风险管理),,,,,613,16781
A034,经济学类,,,,,637,6709
A034,数字经济(成思危拔尖班),,,,,639,6287
A034,管理科学与工程类,,,,,608,19534
A034,投资学(含投资学、投资学大数据双学位项目2个专业),,,,,624,11486
A034,大数据管理与应用(许国志大数据英才班),,,,,628,9613
A034,法学(含法学与会计学双学位、法学与工商管理双学位等4个专业),,,,,639,6147
A034,计算机类,,,,,632,8114
A034,经济学(数理经济与数理金融),,,,,640,6022
A034,财政学(财政理论与政策),,,,,636,6967
A034,统计学类,,,,,632,8372
A036,经济学类(分流时专业任选),,,,,631,8564
A036,国际经济与贸易(国际组织人才基地班),,,,,639,6172
A036,金融工程(大类招生，项目选拔进入，分流时专业任选),,,,,619,13878
A036,金融工程(量化金融实验班),,,,,621,12539
A036,工商管理类(项目选拔进入，分流时专业任选),,,,,631,8809
A036,数据科学与大数据技术(大类招生，项目选拔进入，分流时专业任选),,,,,613,16749
A036,精算学(选拔进入双学士学位项目或实验班),,,,,617,14819
A036,海关管理(海关与大数据应用拔尖人才实验班),,,,,644,4883
A036,金融数学,,,,,615,15979
A036,经济统计学,,,,,621,12654
A036,经济学(荣誉学士实验班),,,,,635,7283
A036,数据科学与大数据技术(中外合作办学),,,,,588,34454
A036,金融学类,,,,,630,9052
A036,法学类,,,,,641,5764
A037,经济学(实验班),,,,,571,52489
A037,金融学(期货与证券实验班),,,,,569,55500
A037,金融学,,,,,562,64482
A037,金融科技,,,,,546,90030
A037,物流管理,,,,,559,68780
A037,计算机科学与技术(实验班),,,,,571,53321
A037,计算机科学与技术,,,,,567,57624
A037,物联网工程,,,,,566,59288
A037,大数据管理与应用(中外合作办学),,,,,505,176148
A037,人工智能,,,,,558,70535
A037,会计学(注册会计师),,,,,580,43136
A037,会计学(智能会计),,,,,579,44211
A037,财务管理,,,,,577,46038
A037,数据科学与大数据技术,,,,,562,65267
A037,应用统计学,,,,,523,135472
A037,数据科学,,,,,543,94578
A037,供应链管理(中外合作办学),,,,,524,132110
A038,公共管理类,,,,,589,34181
A038,会计学(数智化国际会计卓越班),,,,,609,19248
A038,金融学(国际金融英文班),,,,,598,26218
A038,数据科学与大数据技术,,,,,591,32215
A038,计算机科学与技术,,,,,593,30702
A038,工业工程,,,,,576,47404
A038,统计学(中外合作办学),,,,,561,66090
A038,经济学(琢玉班),,,,,606,20892
A043,马克思主义理论,,,,,603,22773
A043,运动人体科学,,,,,586,36965
A043,运动康复,,,,,596,27915
A043,智能体育工程,,,,,595,28552
A043,汉语国际教育,,,,,600,25331
A043,英语,,,,,596,27846
A043,新闻学,,,,,607,20337
A043,网络与新媒体,,,,,602,23610
A043,应用心理学,,,,,589,34131
A043,数据科学与大数据技术,,,,,594,29305
